ENTREZ_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
338811,-0.126311333,4.688667833,-2.393450613,0.018235623,0.038611942,-4.324802265
383,-0.126995333,4.302238333,-4.351940263,2.85E-05,0.000128058,1.679489027
152098,-0.127354,4.204999167,-2.708170911,0.007751141,0.018449435,-3.562093769
90246,-0.12736575,5.104479875,-3.242517288,0.00153311,0.004478956,-2.079691774
4261,-0.127369833,6.274716417,-2.455987144,0.015477136,0.033617021,-4.179993796
441204,-0.12738575,4.946932625,-3.75676005,0.00026674,0.000957036,-0.444806352
64419,-0.12785175,7.920605708,-2.858070912,0.005023997,0.012665058,-3.169537044
10533,-0.128043417,7.531063292,-2.447871525,0.015812761,0.03419326,-4.198977122
29115,-0.128848167,8.143738917,-2.893181253,0.004527931,0.011577794,-3.074919814
91807,-0.129076667,4.27992,-3.693460627,0.000333986,0.001164692,-0.65648861
115727,-0.129400167,6.084383833,-3.235513362,0.001568101,0.00456898,-2.10058814
388815,-0.129843167,4.596365583,-2.459404751,0.015337708,0.033340658,-4.171982641
101928626,-0.129987167,3.873334583,-4.080344333,8.12E-05,0.000326509,0.680833259
400710,-0.130063667,4.262952667,-2.899124059,0.004448554,0.011396946,-3.05880541
150248,-0.130075,6.0274855,-3.30808137,0.001239095,0.003716776,-1.8822491
84867,-0.130200833,5.416983583,-3.553445689,0.000544034,0.001789914,-1.114495156
340554,-0.130763667,5.058009333,-3.716177273,0.00030819,0.001086511,-0.580848768
84253,-0.13083625,5.529271042,-4.303151218,3.45E-05,0.000152025,1.496601209
100130992,-0.1309035,3.897183917,-4.248615414,4.26E-05,0.00018378,1.293959924
773 /// 100507353,-0.131539,5.180325833,-2.510253422,0.013391522,0.029685219,-4.051602355
283507,-0.131967167,3.745040917,-3.615877684,0.00043837,0.001480246,-0.912026374
30820,-0.131974333,5.856188667,-2.693445127,0.008081166,0.019126768,-3.599651671
143884,-0.132066167,6.358689417,-2.514144738,0.013252108,0.029411936,-4.042298569
4520,-0.132134333,8.159592833,-2.628918386,0.009682593,0.022377253,-3.762082511
22927,-0.13213525,7.167430542,-2.650239787,0.009124254,0.02127113,-3.708798056
