,logFC,AveExpr,t,P.Value,adj.P.Val,B
90326,0.318582442,-0.019946077,5.369143706,2.81E-07,9.34E-07,5.804989882
388662,0.318468053,-0.050728654,5.104630231,9.51E-07,2.95E-06,4.623449338
29855,0.318431005,-0.043523852,3.106406512,0.002249277,0.004066094,-2.765784809
83696,0.318366917,-0.027708123,3.974526433,0.000107422,0.000244693,0.085067243
9786,0.318156037,-0.03100339,4.275452526,3.31E-05,8.16E-05,1.207599859
100128788,0.318064729,-0.029154185,4.303976626,2.95E-05,7.34E-05,1.317383184
3785,0.317985995,-0.049837498,3.483947436,0.000641007,0.001277403,-1.599307516
79929,0.317824002,-0.043393127,4.048470334,8.09E-05,0.000188294,0.35477798
25828,0.317799316,-0.042911586,3.632165655,0.000380495,0.000789086,-1.110033737
494470,0.317739014,-0.079422509,3.135956678,0.002046664,0.003725681,-2.678705558
149373,0.317570006,-0.033042897,4.195776751,4.54E-05,0.000110042,0.904010108
9816,0.317375535,-0.040401344,2.318590986,0.021711741,0.032529698,-4.811003162
101926918,0.317319073,-0.039574636,3.959557798,0.000113724,0.00025835,0.030962151
2629 /// 2630,0.317035813,0.012386158,2.708346962,0.007514895,0.012361355,-3.866769618
1258,0.317008743,-0.020833714,5.898996889,2.19E-08,8.44E-08,8.292087811
2861,0.316983821,-0.023349974,3.589847851,0.00044231,0.000907985,-1.251490389
158056,0.316890893,-0.03536528,3.75320981,0.000245621,0.00052665,-0.697727817
84717,0.316890335,-0.042626896,3.693468021,0.000305246,0.000644019,-0.902640197
170393,0.316854296,-0.028653763,4.558857467,1.03E-05,2.76E-05,2.323554743
10522,0.316772825,-0.03271349,4.789132651,3.86E-06,1.10E-05,3.270447351
5672,0.316772636,-0.013096597,2.166183005,0.031811366,0.046141665,-5.143110329
100125288,0.316761833,-0.028679729,4.510755107,1.26E-05,3.33E-05,2.13024154
100996724,0.316755155,-0.029327235,4.860722018,2.82E-06,8.22E-06,3.571912985
126208,0.316670684,-0.028028988,5.132841261,8.36E-07,2.62E-06,4.747458231
23516,0.316654352,-0.024818415,4.584274897,9.27E-06,2.50E-05,2.426335153
7140,0.316623091,-0.039281487,4.51329078,1.25E-05,3.30E-05,2.140392567
64216,0.316601024,-0.052922815,6.672389754,4.12E-10,1.97E-09,12.1799939
3299,0.316565515,-0.023409749,3.845786885,0.000174516,0.000384398,-0.374788801
26747,0.316474105,-0.048631557,2.673054906,0.008313636,0.013535798,-3.957800468
56106,0.316459429,-0.053075227,2.89265799,0.00436478,0.007516491,-3.373810548
2155,0.316372044,-0.028623419,4.094350294,6.77E-05,0.000159522,0.524148328
84448,0.316355172,-0.031611426,4.116088135,6.22E-05,0.000147435,0.604932687
5671 /// 5680,0.31630088,-0.0050026,3.223225223,0.001542767,0.002874901,-2.417310964
170850,0.316243745,-0.053624663,3.472174321,0.000667663,0.001326535,-1.637425666
221188,0.316191687,-0.004769086,4.829459406,3.23E-06,9.34E-06,3.439857909
27179,0.316185487,-0.024765505,3.992559078,0.000100271,0.000229648,0.150468487
90113,0.316053441,-0.039068573,4.671417496,6.40E-06,1.77E-05,2.78200642
3009,0.315993154,-0.031814971,3.674541309,0.00032683,0.00068513,-0.96698313
9694,0.31598894,-0.003996403,2.42204287,0.016576622,0.025454794,-4.573579865
60412,0.315956659,-0.031832221,5.525870085,1.34E-07,4.66E-07,6.524415642
8906,0.315938066,-0.014413759,4.699422259,5.68E-06,1.58E-05,2.897381263
100996307 /// 101930071,0.315858661,-0.023168121,3.35713361,0.000988844,0.001905656,-2.00405348
155185,0.315848839,-0.035943664,5.291194304,4.04E-07,1.32E-06,5.452472285
51200,0.315818482,-0.056928136,2.68527358,0.00802881,0.013115981,-3.92640729
162967,0.31572912,-0.031049238,2.196235885,0.029546887,0.043145988,-5.079300318
55624,0.315672414,-0.035381405,5.11333557,9.14E-07,2.84E-06,4.661663983
9331,0.315586377,-0.059629012,3.986909029,0.000102461,0.000234036,0.129950789
100130460,0.31545908,-0.023179834,5.887071352,2.32E-08,8.92E-08,8.234438256
9953,0.315447511,0.023808046,3.16170664,0.001884031,0.003453568,-2.602232672
5870 /// 150786,0.31539644,-0.065545301,3.449619166,0.000721661,0.001423607,-1.710144279
3439 /// 3447,0.315328359,-0.029693351,4.33253108,2.63E-05,6.60E-05,1.427858703
55124,0.315317531,-0.016671879,3.188321748,0.001728593,0.003191552,-2.522612745
